longitude,latitude,stolen_place,cost,status,hood_num,hood_name,case_num
-79.3420564956245,43.6720902508797,House,400,STOLEN,068,North Riverdale (68),286
-79.3694490534279,43.6545223936261,Outside,500,STOLEN,073,Moss Park (73),1110
-79.3665076974801,43.7112946594355,Other,2500,STOLEN,056,Leaside-Bennington (56),251
-79.3813584464469,43.6573980965019,Outside,500,STOLEN,170,Yonge-Bay Corridor (170),2141
-79.4828856152277,43.6679712507538,House,500,STOLEN,090,Junction Area (90),220
-79.3973886423958,43.6680342091879,Outside,1600,STOLEN,095,Annex (95),1272
-79.3905872468585,43.6694730093903,Outside,700,STOLEN,169,Bay-Cloverhill (169),780
-79.3767037512241,43.6624204015241,Outside,2000,STOLEN,071,Cabbagetown-South St.James Town (71),565
-79.3737671550415,43.6672884064532,Apartment,200,STOLEN,074,North St.James Town (74),486
-79.4023298342978,43.6552298963656,Apartment,2200,STOLEN,078,Kensington-Chinatown (78),1237
-79.4827528201372,43.6635110612558,Other,300,STOLEN,089,Runnymede-Bloor West Village (89),131
-79.4827528201372,43.6635110612558,Other,400,STOLEN,089,Runnymede-Bloor West Village (89),131
-79.3675887552805,43.6563596954634,Commercial,500,STOLEN,073,Moss Park (73),1110
-79.3229995977349,43.6524055387432,Transit,400,STOLEN,070,South Riverdale (70),979
-79.2639598818895,43.6969434301979,Outside,500,STOLEN,122,Birchcliffe-Cliffside (122),119
-79.4024113406735,43.6694572121426,Other,250,STOLEN,095,Annex (95),1272
-79.317650118856,43.666088982984,Commercial,1000,STOLEN,065,Greenwood-Coxwell (65),343
-79.3721949563986,43.6676352069557,Outside,500,STOLEN,074,North St.James Town (74),486
-79.3626715364257,43.7752753030623,House,300,STOLEN,047,Don Valley Village (47),70
-79.3820870470184,43.6605697996736,Apartment,NA,STOLEN,168,Downtown Yonge East (168),1618
-79.3778420490607,43.6582068973107,Educational,300,STOLEN,168,Downtown Yonge East (168),1618
-79.3749262530438,43.6643246034283,Outside,895,STOLEN,071,Cabbagetown-South St.James Town (71),565
-79.3971783519213,43.7011315214802,House,200,STOLEN,174,South Eglinton-Davisville (174),349
-79.36427240286,43.7056027729255,House,300,STOLEN,056,Leaside-Bennington (56),251
-79.3845627472281,43.6649204040241,Outside,1000,STOLEN,167,Church-Wellesley (167),1053
-79.3837284444395,43.6557204948242,Outside,100,STOLEN,170,Yonge-Bay Corridor (170),2141
-79.36427240286,43.7056027729255,House,400,STOLEN,056,Leaside-Bennington (56),251
-79.4436610791146,43.7016931596298,Other,200,STOLEN,108,Briar Hill-Belgravia (108),92
-79.412973335542,43.6696091148141,Outside,932.25,STOLEN,095,Annex (95),1272
-79.5827084991662,43.6333613443663,House,500,STOLEN,012,Markland Wood (12),62
-79.383092246615,43.6613701004739,Outside,1800,STOLEN,167,Church-Wellesley (167),1053
-79.3861618443091,43.6577625968664,Other,800,STOLEN,170,Yonge-Bay Corridor (170),2141
-79.4011106329617,43.6469652864393,Commercial,2500,STOLEN,164,Wellington Place (164),1293
-79.3585044097727,43.7114446722035,Outside,NA,UNKNOWN,055,Thorncliffe Park (55),115
-79.2969690597414,43.7004734068512,Outside,2000,STOLEN,054,O'Connor-Parkview (54),78
-79.3764472488647,43.6548291939329,Outside,3000,STOLEN,168,Downtown Yonge East (168),1618
-79.3987233358232,43.6549231954159,Commercial,0,STOLEN,078,Kensington-Chinatown (78),1237
-79.3778420490607,43.6582068973107,Outside,800,STOLEN,168,Downtown Yonge East (168),1618
-79.3737671550415,43.6672884064532,Outside,800,STOLEN,071,Cabbagetown-South St.James Town (71),565
-79.3657302004346,43.7061266694948,House,2000,STOLEN,056,Leaside-Bennington (56),251
-79.3202823271071,43.6753296989369,House,1050,STOLEN,065,Greenwood-Coxwell (65),343
-79.3874560494856,43.6719289119,Outside,1025,STOLEN,098,Rosedale-Moore Park (98),641
-79.3861390484279,43.6687295080645,Outside,350,STOLEN,167,Church-Wellesley (167),1053
-79.41297835658,43.7760819944587,Outside,NA,UNKNOWN,151,Yonge-Doris (151),175
-79.4160707300858,43.6640725086699,Outside,200,STOLEN,080,Palmerston-Little Italy (80),501
-79.3462800009449,43.67866126651,Commercial,200,STOLEN,067,Playter Estates-Danforth (67),191
-79.4449707837788,43.6984729626752,Other,2500,STOLEN,108,Briar Hill-Belgravia (108),92
-79.4329249285203,43.6753040242011,Apartment,450,STOLEN,094,Wychwood (94),202
-79.3292508148994,43.6738979816654,Other,1400,STOLEN,070,South Riverdale (70),979
-79.3841910505493,43.6708037100493,Outside,1815,STOLEN,167,Church-Wellesley (167),1053
-79.3442385015267,43.6773771652012,Outside,1300,STOLEN,069,Blake-Jones (69),140
-79.534455893695,43.63940413929,Transit,600,STOLEN,159,Etobicoke City Centre (159),155
-79.4728278250715,43.6577514608135,House,1300,STOLEN,088,High Park North (88),448
-79.3037295612056,43.72213045903,Apartment,4000,RECOVERED,043,Victoria Village (43),23
-79.3249806291289,43.681501707074,House,650,STOLEN,065,Greenwood-Coxwell (65),343
-79.3399950058533,43.6766441699236,Educational,1300,STOLEN,069,Blake-Jones (69),140
-79.3801027493832,43.6636958027995,Apartment,2484.87,STOLEN,167,Church-Wellesley (167),1053
-79.2942879647447,43.7074400947051,Apartment,NA,STOLEN,120,Clairlea-Birchmount (120),121
-79.2942879647447,43.7074400947051,Apartment,NA,STOLEN,120,Clairlea-Birchmount (120),121
-79.2942879647447,43.7074400947051,Apartment,NA,STOLEN,120,Clairlea-Birchmount (120),121
-79.2942879647447,43.7074400947051,Apartment,NA,STOLEN,120,Clairlea-Birchmount (120),121
-79.2942879647447,43.7074400947051,Apartment,NA,STOLEN,120,Clairlea-Birchmount (120),121
-79.3381681107267,43.6783193784527,Other,600,STOLEN,069,Blake-Jones (69),140
-79.3708875557966,43.6645055036092,House,1000,STOLEN,071,Cabbagetown-South St.James Town (71),565
-79.4258064247299,43.6494780944063,Apartment,500,STOLEN,084,Little Portugal (84),482
-79.3429975981651,43.6743674569251,House,1300,STOLEN,069,Blake-Jones (69),140
-79.4772911021793,43.6805548155467,House,1000,STOLEN,111,Rockcliffe-Smythe (111),91
-79.3795628472736,43.6562871953909,Outside,100,STOLEN,168,Downtown Yonge East (168),1618
-79.3907863389194,43.649125388229,Outside,700,STOLEN,164,Wellington Place (164),1293
-79.4139616286781,43.6386707802279,Outside,860,RECOVERED,163,Fort York-Liberty Village (163),699
-79.3811978464282,43.6570208961247,Outside,1100,STOLEN,168,Downtown Yonge East (168),1618
-79.3765288494112,43.6566318957356,Outside,70,STOLEN,168,Downtown Yonge East (168),1618
-79.383092246615,43.6613701004739,Outside,1300,STOLEN,167,Church-Wellesley (167),1053
-79.3818767469876,43.6600568991606,Outside,800,STOLEN,168,Downtown Yonge East (168),1618
-79.3694984547727,43.6586558977596,House,1300,STOLEN,073,Moss Park (73),1110
-79.4385599204788,43.657570809273,Other,350,STOLEN,083,Dufferin Grove (83),398
-79.438304120564,43.6358942830636,Outside,4000,STOLEN,085,South Parkdale (85),401
-79.4391599205326,43.6590973112545,Commercial,3134,STOLEN,171,Junction-Wallace Emerson (171),530
-79.4293931244748,43.6611570100586,Commercial,1000,STOLEN,080,Palmerston-Little Italy (80),501
-79.3827009420866,43.6394490778127,Commercial,850,STOLEN,165,Harbourfront-CityPlace (165),1044
-79.3854456422606,43.6539008930046,Educational,200,STOLEN,170,Yonge-Bay Corridor (170),2141
-79.383092246615,43.6613701004739,Outside,NA,UNKNOWN,167,Church-Wellesley (167),1053
-79.3956427347843,43.6400206791244,Apartment,600,STOLEN,165,Harbourfront-CityPlace (165),1044
-79.3996647357936,43.6567171979692,Outside,700,STOLEN,078,Kensington-Chinatown (78),1237
-79.3875519495486,43.6721601121904,Outside,1000,STOLEN,098,Rosedale-Moore Park (98),641
-79.3961410585224,43.6961318344311,Outside,800,STOLEN,174,South Eglinton-Davisville (174),349
-79.3841910505493,43.6708037100493,Apartment,900,STOLEN,167,Church-Wellesley (167),1053
-79.3419344257318,43.6918077109216,House,NA,STOLEN,058,Old East York (58),44
-79.3794619472554,43.6560306951344,Outside,600,STOLEN,168,Downtown Yonge East (168),1618
-79.4421545909571,43.6957838682767,House,550,STOLEN,107,Oakwood Village (107),136
-79.1301070486972,43.7810381713185,Transit,750,STOLEN,143,West Rouge (143),76
-79.3817052433795,43.6518894909931,Other,200,STOLEN,170,Yonge-Bay Corridor (170),2141
-79.4916628239569,43.757235069026,Apartment,962.76,UNKNOWN,027,York University Heights (27),265
-79.3888627470576,43.6681955076369,Apartment,2100,STOLEN,169,Bay-Cloverhill (169),780
-79.394921935802,43.6454967846004,Outside,600,STOLEN,164,Wellington Place (164),1293
-79.3692583927891,43.7116703530185,Other,700,STOLEN,056,Leaside-Bennington (56),251
-79.3893446431875,43.6575806966845,Other,1464.75,STOLEN,170,Yonge-Bay Corridor (170),2141
-79.4537034793004,43.6973159643082,Other,200,STOLEN,108,Briar Hill-Belgravia (108),92
-79.3843685447556,43.6573087964126,Outside,800,STOLEN,170,Yonge-Bay Corridor (170),2141
-79.3934690417495,43.6591934988982,Outside,550,STOLEN,078,Kensington-Chinatown (78),1237
-79.4330264244199,43.6784092151035,Other,400,STOLEN,094,Wychwood (94),202
-79.4131802289386,43.6453597879568,Outside,700,STOLEN,162,West Queen West (162),579
-79.5307885955331,43.6446500736934,Outside,1000,STOLEN,159,Etobicoke City Centre (159),155
-79.3634814025925,43.7103683663115,Commercial,72,STOLEN,055,Thorncliffe Park (55),115
-79.4191739269407,43.6470634910379,Outside,600,STOLEN,081,Trinity-Bellwoods (81),540
-79.379145444457,43.6460476851513,Commercial,0,STOLEN,170,Yonge-Bay Corridor (170),2141
-79.3934690417495,43.6591934988982,Educational,600,STOLEN,078,Kensington-Chinatown (78),1237
-79.4302421233448,43.6586163078009,House,50,STOLEN,083,Dufferin Grove (83),398
-79.3770179502708,43.6601890992929,Educational,1500,STOLEN,168,Downtown Yonge East (168),1618
-79.3934690417495,43.6591934988982,Educational,719,STOLEN,078,Kensington-Chinatown (78),1237
-79.4302421233448,43.6586163078009,House,600,STOLEN,083,Dufferin Grove (83),398
-79.4302421233448,43.6586163078009,House,500,STOLEN,083,Dufferin Grove (83),398
-79.3715466495228,43.647648386752,Other,6789,STOLEN,166,St Lawrence-East Bayfront-The Islands,1295
-79.3670281575153,43.6619431010468,Outside,4000,STOLEN,072,Regent Park (72),329
-79.3768430563389,43.67235631146,Outside,500,STOLEN,098,Rosedale-Moore Park (98),641
-79.3899764377768,43.6437026828064,Commercial,NA,STOLEN,165,Harbourfront-CityPlace (165),1044
-79.4207636264108,43.6493274938724,Outside,175,STOLEN,081,Trinity-Bellwoods (81),540
-79.3940734629841,43.6880336442218,Other,4200,STOLEN,098,Rosedale-Moore Park (98),641
-79.3691329532559,43.6533743924781,Outside,700,STOLEN,073,Moss Park (73),1110
-79.3629589051929,43.7040494773934,Other,827.95,STOLEN,056,Leaside-Bennington (56),251
-79.5096433192454,43.7604764866434,Other,NA,STOLEN,024,Black Creek (24),62
-79.3695508587399,43.6681737079333,Outside,600,STOLEN,071,Cabbagetown-South St.James Town (71),565
-79.3629589051929,43.7040494773934,Other,883.15,STOLEN,056,Leaside-Bennington (56),251
-79.3999766333464,43.6489005880042,Outside,40,STOLEN,078,Kensington-Chinatown (78),1237
-79.3901076432996,43.6586796977835,Outside,1000,STOLEN,078,Kensington-Chinatown (78),1237
-79.40199183803,43.6630883053485,Educational,750,STOLEN,079,University (79),1023
-79.4066019318582,43.6521831936387,Educational,600,STOLEN,081,Trinity-Bellwoods (81),540
-79.3769330479008,43.6529091920128,Outside,500,STOLEN,168,Downtown Yonge East (168),1618
-79.4398542200474,43.6399464889832,Outside,200,STOLEN,086,Roncesvalles (86),421
-79.4002649414966,43.7063519023338,Outside,NA,STOLEN,100,Yonge-Eglinton (100),198
-79.3595946846893,43.6788000470214,Apartment,500,STOLEN,067,Playter Estates-Danforth (67),191
-79.3961399370165,43.6533363930367,Outside,400,STOLEN,078,Kensington-Chinatown (78),1237
-79.3796519531427,43.6703708094745,Commercial,600,STOLEN,074,North St.James Town (74),486
-79.3835648415686,43.6479159870196,Commercial,0,STOLEN,170,Yonge-Bay Corridor (170),2141
-79.4672034169748,43.6539678306645,Transit,600,STOLEN,088,High Park North (88),448
-79.3949120638288,43.6901891451897,Outside,700,STOLEN,098,Rosedale-Moore Park (98),641
-79.3807817474836,43.6593547984586,Outside,1300,STOLEN,168,Downtown Yonge East (168),1618
-79.4331653264021,43.6707113208703,House,400,STOLEN,094,Wychwood (94),202
-79.3801027493832,43.6636958027995,Apartment,300,STOLEN,167,Church-Wellesley (167),1053
-79.3897247386646,43.6465989857026,Outside,630,STOLEN,164,Wellington Place (164),1293
-79.4916503180578,43.6208298405492,Outside,10,STOLEN,160,Mimico-Queensway (160),187
-79.4916503180578,43.6208298405492,Outside,10,STOLEN,160,Mimico-Queensway (160),187
-79.3439165006466,43.6765914630176,House,900,STOLEN,068,North Riverdale (68),286
-79.4186468271164,43.6353491773902,Transit,700,RECOVERED,163,Fort York-Liberty Village (163),699
-79.3735243866233,43.7088378494154,House,860,STOLEN,056,Leaside-Bennington (56),251
-79.3735243866233,43.7088378494154,House,1000,STOLEN,056,Leaside-Bennington (56),251
-79.3735243866233,43.7088378494154,House,450,STOLEN,056,Leaside-Bennington (56),251
-79.3773725503021,43.6609919000956,Apartment,900,STOLEN,168,Downtown Yonge East (168),1618
-79.4093504075299,43.7603403880244,Apartment,1335,STOLEN,153,Avondale (153),157
-79.4162844279039,43.6447184875698,Outside,1200,STOLEN,162,West Queen West (162),579
-79.3655424308379,43.7714398999391,Outside,300,UNKNOWN,052,Bayview Village (52),165
-79.3807069451267,43.6521346912383,Outside,500,STOLEN,170,Yonge-Bay Corridor (170),2141
-79.4477362178998,43.6597751151406,House,600,STOLEN,171,Junction-Wallace Emerson (171),530
-79.4527532210477,43.6663203318265,House,350,STOLEN,171,Junction-Wallace Emerson (171),530
-79.4368066244824,43.6699689208832,House,0,STOLEN,171,Junction-Wallace Emerson (171),530
-79.2542411407459,43.7766362676131,Commercial,600,STOLEN,156,Bendale-Glen Andrew (156),76
-79.3837284444395,43.6557204948242,Apartment,450,STOLEN,170,Yonge-Bay Corridor (170),2141
-79.4468512198132,43.6646300206564,House,1000,STOLEN,171,Junction-Wallace Emerson (171),530
-79.3754644469109,43.6433094824131,Commercial,300,STOLEN,166,St Lawrence-East Bayfront-The Islands,1295
-79.3840092445827,43.6564307955346,Outside,NA,STOLEN,170,Yonge-Bay Corridor (170),2141
-79.40199183803,43.6630883053485,Educational,2000,STOLEN,079,University (79),1023
-79.3989709401601,43.6654293069678,Educational,150,STOLEN,079,University (79),1023
-79.3998210405627,43.66751210934,Educational,350,STOLEN,095,Annex (95),1272
-79.389869569075,43.6889906509479,Commercial,2000,STOLEN,098,Rosedale-Moore Park (98),641
-79.3797337493324,43.662805301909,Apartment,1500,STOLEN,167,Church-Wellesley (167),1053
-79.3372634872614,43.6605589245325,House,3000,STOLEN,070,South Riverdale (70),979
-79.3984355400764,43.6641073054674,Educational,100,STOLEN,079,University (79),1023
-79.3964197568147,43.6973751312589,Commercial,1300,STOLEN,174,South Eglinton-Davisville (174),349
-79.3007918495277,43.6819222301223,Other,650,STOLEN,062,East End-Danforth (62),423
-79.4152683282425,43.6421301841395,Apartment,789.87,STOLEN,162,West Queen West (162),579
-79.3770179502708,43.6601890992929,Educational,300,STOLEN,168,Downtown Yonge East (168),1618
-79.457796424487,43.6668340456452,Outside,NA,STOLEN,171,Junction-Wallace Emerson (171),530
-79.3752405470602,43.6463492854529,Outside,960,STOLEN,166,St Lawrence-East Bayfront-The Islands,1295
-79.4279383240192,43.6525294990108,House,10,STOLEN,084,Little Portugal (84),482
-79.4369364253009,43.6746146248854,House,500,STOLEN,092,Corso Italia-Davenport (92),119
-79.4265758981704,43.7182339644101,House,150,RECOVERED,039,Bedford Park-Nortown (39),115
-79.3685501554755,43.6588674979712,House,465,STOLEN,073,Moss Park (73),1110
-79.4232583269699,43.6625076093643,Outside,0,STOLEN,172,Dovercourt Village (172),356
-79.4370618209781,43.6552164056345,Outside,800,STOLEN,083,Dufferin Grove (83),398
-79.382088246527,43.659098198202,Commercial,350,STOLEN,170,Yonge-Bay Corridor (170),2141
-79.4314007228651,43.6434956902887,House,320,STOLEN,086,Roncesvalles (86),421
-79.5686956752641,43.6494272129879,Outside,399.99,STOLEN,013,Etobicoke West Mall (13),36
-79.3998210405627,43.66751210934,Outside,350,STOLEN,095,Annex (95),1272
-79.405115031627,43.6430184838273,Apartment,200,STOLEN,162,West Queen West (162),579
-79.3820262502107,43.6683471074508,Outside,500,STOLEN,167,Church-Wellesley (167),1053
-79.3769330479008,43.6529091920128,Outside,870,STOLEN,168,Downtown Yonge East (168),1618
-79.3904779654074,43.6986196390879,Apartment,NA,STOLEN,174,South Eglinton-Davisville (174),349
-79.3904779654074,43.6986196390879,Apartment,NA,STOLEN,174,South Eglinton-Davisville (174),349
-79.4017703340345,43.6538804945925,Outside,700,RECOVERED,078,Kensington-Chinatown (78),1237
-79.3935349444371,43.667256507135,Educational,620,STOLEN,169,Bay-Cloverhill (169),780
-79.3468053876932,43.6711305382649,House,500,STOLEN,068,North Riverdale (68),286
-79.4446734897029,43.6953139675784,House,2500,STOLEN,107,Oakwood Village (107),136
-79.3800438529141,43.6704199095236,Apartment,130,STOLEN,167,Church-Wellesley (167),1053
-79.3468053876932,43.6711305382649,House,500,STOLEN,068,North Riverdale (68),286
-79.4138848308282,43.6619277060594,Educational,800,STOLEN,080,Palmerston-Little Italy (80),501
